기능명,분류,설명,우선순위
로그인,user,,MVP
로그아웃,user,,MVP
낭비 패턴 리포트,logic,[MVP] '채소를 가장 많이 버림' 등 개인 낭비 패턴을 분석해 요약 리포트로 제공한다. 누적된 폐기 데이터로 자주 버리는 '위험 품목'을 자동 발견해 집중 관리 대상으로 제안한다(미리 입력받지 않고 사용 데이터로 발견).,MVP
소진/폐기 처리,dispose,[MVP] 재료를 '다 먹음' 또는 '버림'으로 1탭 처리한다.,MVP
유통기한(소비기한) 자동 추정,"ingredient, logic","[MVP] 품목별 평균 보관 기간으로 소비기한을 자동 설정하고, 사용자가 수정할 수 있다.",MVP
장보기 도우미 뷰,"logic, user",[MVP] 장보기 전 '이미 있는 것 / 사야 할 것'을 정리해 보여줘 과잉구매를 막는다. 반성 도구가 아닌 실용 도구로 만드는 핵심 차별점.,MVP
다음 구매량 제안,logic,[MVP] 낭비 이력을 바탕으로 '이번엔 절반만 사세요' 등 다음 장보기 구매량을 제안한다.,MVP
영수증 촬영 자동 등록,ingredient,[MVP] 영수증 사진을 OCR로 읽어 품목·가격·구매일을 자동 입력한다. 영수증 등록과 인터넷 쇼핑 기록 등록을 구분해 처리. 재료 등록의 귀찮음을 없애는 핵심 확장 기능.,MVP
폐기 자동 추정,"dispose, logic",[MVP] 소비기한이 지났는데 소진 체크가 없는 재료를 '아마 버림'으로 자동 추정한다(예: 주 1회 일괄 처리). 사용자가 매번 기록하지 않아도 낭비 데이터가 쌓이게 함.,MVP
재료 수동 추가/편집,ingredient,[MVP] 품목·수량·구매일을 직접 입력하고 수정·삭제한다. (MVP에서는 이 방식으로 등록),MVP
유통기한 임박 알림,notification,[MVP] 소비기한이 임박한(D-2 등) 재료를 푸시로 알린다.,MVP
장보기 전 리마인더,notification,[확장] 정기적으로 '장보기 전에 냉장고를 확인하세요' 알림을 보내 앱을 여는 습관을 만든다.,확장
임박 재료 조합 추천,recipe,[확장] 곧 상할 재료로 만들 수 있는 간단한 요리 조합을 제안한다.,확장
마이페이지/대시보드,user,"[확장] 내 낭비 통계, 누적 절약 금액, 절약 스트릭을 한 화면에서 확인한다.",확장
절약 금액 환산,logic,[확장] 안 버리고 다 먹은 만큼 아낀 금액을 계산해 시각화한다.,확장
재료 목록 조회,ingredient,[MVP] 보유 재료를 소비기한 임박순으로 정렬해 표시한다.,MVP
소진 여부 확인 알림,"dispose, notification",[MVP] '이거 다 드셨어요?'에 예/아니오만 눌러 소진 또는 잔여로 처리한다. 폐기 기록의 부담을 최소화하는 장치.,MVP
낭비 집계,"dispose, logic","[MVP] 버린 품목과 금액을 기간별(주/월)로 누적 집계한다. 폐기량은 게이지로 양을 조절해 기록할 수 있고, 리포트는 월 1회 생성한다.",MVP
